IP 地址,端口,运营商,延迟(ms),丢包率(%)
104.27.32.116,443,多线,31.5,0.0
104.27.25.213,443,多线,31.5,0.0
104.27.120.118,443,多线,31.5,0.0
141.101.113.231,443,多线,31.6,0.1
141.101.114.74,443,多线,31.6,0.1
104.27.64.234,443,多线,31.7,0.0
104.27.32.16,443,多线,31.7,0.0
104.27.127.191,443,多线,31.8,0.0
104.27.60.118,443,多线,31.9,0.0
104.27.52.26,443,多线,31.9,0.0
104.27.21.217,443,多线,32.0,0.0
104.27.23.65,443,多线,32.0,0.0
141.101.115.145,443,多线,32.0,0.1
104.27.15.123,443,多线,32.0,0.0
104.27.65.83,443,多线,32.0,0.0
104.27.32.71,443,多线,32.0,0.0
104.27.113.90,443,多线,32.1,0.0
104.27.49.29,443,多线,32.1,0.0
104.27.108.180,443,多线,32.2,0.0
104.27.202.111,443,多线,32.3,0.0
104.27.120.28,443,多线,32.3,0.0
104.27.106.32,443,多线,32.3,0.0
104.27.112.11,443,多线,32.4,0.0
141.101.120.110,443,多线,32.5,0.1
104.27.64.134,443,多线,32.5,0.0
141.101.114.70,443,多线,32.5,0.1
104.27.54.9,443,多线,32.7,0.0
104.27.67.96,443,多线,32.7,0.0
104.27.91.197,443,多线,32.8,0.0
104.27.30.83,443,多线,32.8,0.0
104.27.3.90,443,多线,32.8,0.0
104.27.7.236,443,多线,32.8,0.0
104.27.7.61,443,多线,32.9,0.0
104.27.0.18,443,多线,32.9,0.0
104.27.51.7,443,多线,32.9,0.0
141.101.114.29,443,多线,32.9,0.1
104.27.3.60,443,多线,33.0,0.0
104.27.121.242,443,多线,33.0,0.0
104.27.6.12,443,多线,33.1,0.0
104.27.200.163,443,多线,33.1,0.0
104.27.20.168,443,多线,33.2,0.0
141.101.114.166,443,多线,33.3,0.1
104.27.36.247,443,多线,33.4,0.0
104.27.123.35,443,多线,33.4,0.0
104.27.7.21,443,多线,33.5,0.0
104.27.39.49,443,多线,33.6,0.0
104.27.25.223,443,多线,33.6,0.0
104.27.43.95,443,多线,33.7,0.0
104.27.8.185,443,多线,33.7,0.0
104.27.34.154,443,多线,33.7,0.0
141.101.115.228,443,多线,33.7,0.1
104.16.42.239,443,移动,33.8,0.1
104.27.6.182,443,多线,33.8,0.0
104.27.3.220,443,多线,33.8,0.0
104.27.15.8,443,多线,33.9,0.0
104.27.116.152,443,多线,34.0,0.0
141.101.113.246,443,多线,34.0,0.1
104.27.38.210,443,多线,34.1,0.0
104.27.199.54,443,多线,34.1,0.0
104.27.4.164,443,多线,34.4,0.0
104.27.1.237,443,多线,34.4,0.0
104.27.16.167,443,多线,34.5,0.0
104.27.56.157,443,多线,34.6,0.0
141.101.114.4,443,多线,34.6,0.1
104.27.7.91,443,多线,34.7,0.0
104.27.0.38,443,多线,34.7,0.0
104.27.36.192,443,多线,34.7,0.0
104.27.56.167,443,多线,34.7,0.0
104.27.0.33,443,多线,34.7,0.0
104.27.67.231,443,多线,34.8,0.0
141.101.115.109,443,多线,34.8,0.1
104.27.0.223,443,多线,34.9,0.0
104.16.42.219,443,移动,34.9,0.1
104.27.53.85,443,多线,35.0,0.0
141.101.114.32,443,多线,35.1,0.1
141.101.114.13,443,多线,35.2,0.1
104.27.10.138,443,多线,35.3,0.0
104.27.10.108,443,多线,35.3,0.0
104.27.53.0,443,多线,35.3,0.0
104.27.200.158,443,多线,35.5,0.0
104.27.21.177,443,多线,35.5,0.0
141.101.114.37,443,多线,35.5,0.1
104.27.194.169,443,多线,35.6,0.0
104.27.69.124,443,多线,35.7,0.0
141.101.114.249,443,多线,35.7,0.1
104.27.6.152,443,多线,35.8,0.0
104.27.68.5,443,多线,35.8,0.0
104.27.5.88,443,多线,35.8,0.0
104.27.42.236,443,多线,35.9,0.0
104.27.2.51,443,多线,35.9,0.0
104.27.0.48,443,多线,36.0,0.0
104.27.10.123,443,多线,36.1,0.0
104.27.207.131,443,多线,36.4,0.0
104.27.14.144,443,多线,36.5,0.0
104.27.9.249,443,多线,36.5,0.0
141.101.113.255,443,多线,36.6,0.1
104.27.68.165,443,多线,36.6,0.0
141.101.113.155,443,多线,36.7,0.1
141.101.114.57,443,多线,36.8,0.1
104.16.31.85,443,移动,37.0,0.1
104.27.1.147,443,多线,37.1,0.0
141.101.114.31,443,多线,37.2,0.1
104.27.6.232,443,多线,37.3,0.0
141.101.121.185,443,多线,37.3,0.1
141.101.114.18,443,多线,37.5,0.1
141.101.115.221,443,多线,37.5,0.1
104.27.9.244,443,多线,37.5,0.0
104.27.200.143,443,多线,37.5,0.0
104.27.92.91,443,多线,37.7,0.0
104.27.12.76,443,多线,37.8,0.0
104.27.5.58,443,多线,37.9,0.0
104.27.28.80,443,多线,38.0,0.0
141.101.115.181,443,多线,38.2,0.1
141.101.115.80,443,多线,38.2,0.1
141.101.115.200,443,多线,38.3,0.1
141.101.113.31,443,多线,38.5,0.1
141.101.113.70,443,多线,38.6,0.1
104.27.72.166,443,多线,38.7,0.0
141.101.114.85,443,多线,38.9,0.1
141.101.115.135,443,多线,39.0,0.1
104.27.6.247,443,多线,39.5,0.0
104.27.0.238,443,多线,39.7,0.0
141.101.115.207,443,多线,39.9,0.1
141.101.113.95,443,多线,40.5,0.1
141.101.114.103,443,多线,40.6,0.1
104.27.14.119,443,多线,40.7,0.0
104.27.32.51,443,多线,40.8,0.0
141.101.114.19,443,多线,41.1,0.1
104.27.55.173,443,多线,41.2,0.0
104.16.15.221,443,移动,41.3,0.1
141.101.113.133,443,多线,41.5,0.1
104.27.62.221,443,多线,41.5,0.0
104.27.28.60,443,多线,41.9,0.0
104.27.205.213,443,多线,42.1,0.0
104.17.105.215,443,多线,42.4,0.1
104.17.88.247,443,多线,42.4,0.1
141.101.121.145,443,多线,42.6,0.1
141.101.114.75,443,多线,42.6,0.1
141.101.115.209,443,多线,43.2,0.1
141.101.115.104,443,多线,43.5,0.1
104.27.112.36,443,多线,44.6,0.0
104.27.204.14,443,多线,45.1,0.0
104.27.206.157,443,多线,45.6,0.0
104.27.206.202,443,多线,45.7,0.0
104.27.206.112,443,多线,46.0,0.0
104.27.205.93,443,多线,46.2,0.0
141.101.121.240,443,多线,46.3,0.1
172.64.32.79,443,联通,46.7,0.0
104.27.207.226,443,多线,46.9,0.0
104.27.205.3,443,多线,47.0,0.0
104.27.206.152,443,多线,47.0,0.0
141.101.114.7,443,多线,47.1,0.1
104.27.206.12,443,多线,47.5,0.0
104.27.7.46,443,多线,47.8,0.0
104.27.205.128,443,多线,47.9,0.0
104.27.206.2,443,多线,47.9,0.0
104.27.207.181,443,多线,48.1,0.0
104.27.205.43,443,多线,48.1,0.0
104.27.203.245,443,多线,48.1,0.0
104.27.206.67,443,多线,48.1,0.0
104.27.207.191,443,多线,48.2,0.0
104.27.205.78,443,多线,48.9,0.0
104.27.204.234,443,多线,48.9,0.0
104.27.205.253,443,多线,49.2,0.0
141.101.115.185,443,多线,49.6,0.1
141.101.115.95,443,多线,49.6,0.1
141.101.114.205,443,多线,49.6,0.1
104.27.205.148,443,多线,49.7,0.0
104.27.205.73,443,多线,49.7,0.0
141.101.113.154,443,多线,50.2,0.1
141.101.114.139,443,多线,50.2,0.1
104.27.204.209,443,多线,50.8,0.0
141.101.113.229,443,多线,50.8,0.1
104.27.206.222,443,多线,51.1,0.0
172.64.72.109,443,联通,51.4,0.0
104.27.206.242,443,多线,51.5,0.0
141.101.115.151,443,多线,51.6,0.1
141.101.114.72,443,多线,52.6,0.1
141.101.115.54,443,多线,53.6,0.1
141.101.114.11,443,多线,54.0,0.1
141.101.113.243,443,多线,54.6,0.1
141.101.120.42,443,多线,54.7,0.1
141.101.115.117,443,多线,55.0,0.1
104.27.76.57,443,多线,55.4,0.0
104.16.42.79,443,移动,55.4,0.1
141.101.123.145,443,多线,56.7,0.1
141.101.115.110,443,多线,57.9,0.1
141.101.113.249,443,多线,59.4,0.1
104.27.86.142,443,多线,60.0,0.0
141.101.115.118,443,多线,60.0,0.1
141.101.113.66,443,多线,60.2,0.1
